-6.64E-02,7.97E-01
3.09E-02,4.14E+00
2.39E-01,2.30E+01
7.45E-02,1.71E+01
1.45E-01,2.45E+01
-1.80E-01,-1.01E+01
1.13E-01,3.03E+01
1.19E-01,2.50E+00
2.20E-01,1.43E+01
-8.47E-02,-1.12E+00
-3.97E-01,-8.78E+00
6.29E-02,1.60E+01
-8.30E-03,5.83E+00
1.65E-01,2.27E+01
5.76E-02,1.06E+01
1.85E-01,1.39E+01
1.63E-01,1.61E+01
1.94E-01,2.88E+01
1.39E-01,1.94E+01
2.05E-01,1.24E+01
5.94E-02,2.69E+01
-6.80E-02,5.54E+00
2.35E-01,1.39E+01
9.42E-02,9.95E+00
-1.59E-02,6.73E+00
-5.98E-01,-7.09E+00
8.18E-02,7.08E+00
1.37E-01,4.79E+00
7.48E-02,1.60E+01
1.90E-01,1.81E+01
1.99E-01,2.59E+01
-1.99E-01,8.44E+00
-2.71E-02,3.22E+01
6.20E-02,1.38E+01
2.50E-02,1.91E+01
1.55E-01,2.24E+01
-1.42E-01,2.75E+01
1.99E-01,2.40E+01
9.69E-02,2.42E+01
2.26E-01,2.64E+01
-1.56E-01,2.92E+01
-1.58E-01,2.90E+01
-1.28E-01,2.92E+01
-1.06E-01,3.22E+01
-1.29E-01,2.76E+01
-1.12E-01,2.81E+01
-1.90E-01,2.74E+01
-1.53E-01,2.90E+01
-1.30E-01,2.85E+01
-1.32E-01,2.88E+01
-1.00E-01,2.86E+01
-1.21E-01,2.85E+01
-1.52E-01,2.83E+01
-1.22E-01,2.64E+01
-9.59E-02,2.83E+01
-2.15E-01,2.72E+01
1.66E-01,1.50E+01
-3.68E-01,2.38E+01
6.14E-02,3.02E+01
-2.56E-01,-1.40E+01
-6.65E-01,-8.71E+00
1.90E-03,3.24E+01
1.34E-02,5.12E+00
1.84E-01,1.89E+01
-1.47E-01,-7.10E+00
2.18E-01,1.31E+01
-1.83E-01,2.81E+00
1.63E-01,5.91E+00
1.10E-01,-1.24E+01
-1.53E-01,1.87E+01
-1.45E-01,2.98E+01
2.65E-01,2.82E+01
1.15E-01,3.43E+01
2.05E-01,1.45E+00
-5.72E-02,2.39E+01
1.76E-01,9.88E+00
6.88E-02,1.55E+01
1.46E-01,2.87E+01
1.25E-01,1.93E+01
5.04E-02,1.48E+01
1.89E-01,2.95E+01
1.89E-01,1.08E+01
-3.34E-01,2.09E+01
1.59E-01,1.10E+01
1.46E-01,4.30E-03
-1.39E-01,2.42E+00
2.10E-01,2.61E+01
2.00E-01,1.96E+01
-1.19E-01,3.49E+01
5.30E-02,2.50E+01
1.81E-01,1.58E+01
1.56E-01,3.15E+01
4.84E-02,3.04E+01
1.51E-01,1.50E+01
-1.15E-01,2.02E+01
1.47E-01,1.02E+01
1.20E-01,1.19E+01
-2.10E-01,1.42E+01
-3.61E-01,1.81E+01
2.00E-01,1.86E+01
-4.98E-01,-1.78E+01
1.97E-01,1.55E+01
9.24E-02,8.48E+00
5.93E-02,1.58E+01
1.96E-01,8.28E+00
-1.26E-01,1.36E+00
1.35E-01,2.67E+01
1.01E-01,3.41E+00
1.30E-01,1.05E+01
-1.50E-01,2.89E+01
-2.16E-01,2.78E+01
6.16E-02,7.07E+00
1.41E-01,2.69E+01
-8.06E-02,3.86E+01
1.89E-01,1.13E+01
6.91E-02,1.83E+01
1.53E-01,2.51E+01
2.15E-01,1.89E+01
1.67E-01,8.81E+00
1.36E-02,2.50E+01
-5.18E-02,1.19E+01
9.93E-02,2.16E+01
-2.68E-01,-5.16E+00
1.64E-01,3.27E+01
2.19E-01,1.47E+01
-1.41E-01,2.24E+01
1.19E-01,2.59E+01
-1.77E-01,9.16E+00
3.89E-02,1.34E+01
1.55E-01,1.48E+01
1.35E-01,-1.97E+00
8.55E-02,2.10E+01
1.36E-01,8.57E+00
1.35E-01,2.74E+01
1.31E-01,2.77E+01
1.51E-01,-2.77E+00
5.60E-03,2.59E+01
1.40E-01,2.64E+01
9.17E-02,2.56E+01
-3.20E-03,1.77E+01
1.39E-01,3.50E+01
1.81E-01,2.85E+01
9.47E-02,2.90E+01
-1.98E-02,1.80E+01
1.33E-01,3.12E+01
-1.25E-01,1.21E+01
-4.25E-01,5.37E+00
-2.30E-03,2.38E+00
-1.03E-01,1.40E+01
-1.48E-01,2.32E+01
1.90E-03,2.46E+01
7.10E-03,1.38E+01
-1.99E-01,2.85E+01
-6.61E-01,-1.09E+01
1.92E-01,1.97E+00
1.55E-01,1.34E+01
-1.39E-01,3.65E+01
-2.72E-01,2.29E+01
1.66E-01,5.92E+00
9.83E-02,1.09E+01
-2.80E-01,2.12E+01
-1.20E-02,1.46E+01
9.37E-02,2.11E+01
9.88E-02,1.87E+01
-3.78E-01,1.82E+01
4.52E-02,2.08E+01
-1.40E-01,3.76E+01
-2.87E-01,1.55E+01
-4.40E-01,4.69E+00
-2.98E-01,-1.12E+01
-2.07E-01,2.53E+01
-2.02E-01,-3.66E+00
-2.20E-01,1.67E+01
-7.44E-01,-1.07E+01
-7.33E-01,-8.74E+00
-2.65E-01,1.26E+01
-4.05E-01,-1.25E+01
-5.02E-01,-3.42E+00
-2.19E-01,-1.54E+01
-2.37E-01,1.23E+01
-1.79E-01,1.80E+01
-7.94E-01,-1.29E+01
-2.50E-01,2.49E+01
-1.75E-01,2.38E+01
2.14E-01,1.40E+01
2.38E-01,2.63E+01
2.23E-01,1.47E+01
1.60E-01,2.70E+01
1.80E-01,2.94E+01
1.54E-01,1.64E+01
-3.00E-04,-1.76E-02
1.50E-03,-1.68E-02
-3.94E-01,-1.12E+01
-4.17E-01,-9.55E+00
-4.43E-01,-1.27E+01
-3.13E-01,-6.64E+00
-4.37E-01,-1.23E+01
-1.98E-01,-1.09E+01
-4.83E-01,-1.71E+01
-6.26E-01,-2.74E+01
-4.46E-01,-1.63E+01
-3.37E-01,-7.59E+00
-4.23E-01,-1.20E+01
-3.48E-01,-1.17E+01
-4.94E-01,-1.72E+01
-2.47E-01,-5.77E+00
-4.56E-01,-1.39E+01
-1.44E-01,-5.39E+00
-3.29E-01,-3.82E+00
-1.48E-01,2.87E+01
-3.72E-01,-1.01E+01
6.95E-02,2.21E+01
1.90E-01,-1.81E+01
-1.86E-02,3.86E+01
-1.38E-01,2.69E+01
2.11E-01,3.40E+00
-2.72E-01,-7.74E+00
-2.07E-02,1.19E+01
-1.80E-01,-8.49E+00
5.10E-02,2.21E+01
-6.38E-02,2.71E+01
8.48E-02,3.77E+01
-1.66E-01,-1.23E+01
1.24E-01,6.78E+00
-2.82E-01,-4.23E+00
-2.01E-01,2.85E+01
2.43E-01,1.83E+01
1.32E-01,1.06E+01
-9.51E-02,2.61E+01
-1.41E-01,2.32E+00
1.92E-01,2.68E+01
9.23E-02,3.27E+01
3.00E-04,2.57E+01
-7.11E-02,2.30E+01
-1.81E-01,2.25E-01
7.51E-02,1.85E+01
-2.07E-01,9.26E+00
8.19E-02,3.51E+01
7.62E-02,9.02E+00
-8.78E-02,3.82E+01
1.01E-01,1.10E+01
-4.64E-02,3.43E+01
-9.27E-02,3.80E+01
-7.25E-02,2.27E+01
5.56E-02,3.22E+01
5.60E-02,8.48E+00
-3.74E-01,2.13E+01
6.51E-02,2.93E+01
6.50E-02,9.42E+00
4.96E-02,7.01E+00
-6.81E-02,3.55E+01
-1.19E-01,3.19E+01
-1.45E-01,-2.36E-01
8.52E-02,9.38E+00
-2.79E-01,1.48E+01
-1.78E-01,1.79E+01
2.22E-02,7.45E+00
-4.34E-01,1.71E+01
-3.24E-01,4.14E+00
2.09E-01,2.74E+01
-3.87E-01,-1.62E+01
-1.58E-02,1.41E+01
-2.92E-02,8.19E+00
-1.43E-01,-8.16E+00
-2.36E-01,-3.54E+00
-2.53E-02,7.52E+00
1.09E-01,2.25E+01
1.08E-01,1.11E+01
-2.11E-01,1.13E+01
1.75E-01,2.04E+01
-4.68E-01,-1.42E+01
3.37E-02,8.76E+00
9.94E-02,2.81E+01
1.93E-01,1.51E+01
-3.90E-01,1.22E+01
-1.07E-01,-2.98E-01
2.83E-02,1.42E+01
-1.85E-02,2.17E+01
-4.93E-01,-7.15E+00
-2.00E-01,7.98E+00
1.72E-01,1.50E+01
1.43E-01,1.50E+01
1.97E-01,2.96E+01
1.72E-01,1.55E+01
-2.03E-01,1.22E+01
-8.12E-01,-1.39E+01
